record_id,sample_id,source_dataset,source_path,file_name,file_ext,source_subtype_dir,family_label,subtype_label,chmusic_class_id,content_type,normalized_base_name,audio_sha256,audio_fingerprint_id,performer_or_recording_id,recording_group_id,grouping_method,take_id,is_near_duplicate,duplicate_of,duration_sec,sample_rate_hz,channels,bit_depth,integrated_loudness_lufs,rms_db,silence_ratio,clipping_ratio,has_vocal,is_decodable,manual_review_required,manual_review_status,sample_status,drop_reason,applied_rule_ids,notes
ccm_000001,ccm_dizi_0001,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 乐曲片段 《鹧鸪飞》.wav,【A调曲笛】 乐曲片段 《鹧鸪飞》.wav,.wav,A调曲笛,笛子,A调曲笛,-1,phrase,【A调曲笛】 乐曲片段 《鹧鸪飞》,f8ed851b3961d04aba65048f3fe7352659e9d756eaa25a54089e691fa3a3576d,593a1a22d013a08be43e3b88a75f5fea3df8df6229642fe3bec09b0894705f96,ccm_dizi_G0001,ccm_dizi_G0001,filename_rule,0,false,,27.193243,44100,2,32,,,0.193596,0.0,false,true,false,,keep,,,
ccm_000002,ccm_dizi_0002,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 三吐 第一遍.wav,【A调曲笛】 演奏技法 三吐 第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,technique,【A调曲笛】 演奏技法 三吐,6cdc9bdc7b4324ac4a69dd3036dd4d35a858cfe8e9eaa95526fa4ce9197c3496,,ccm_dizi_G0002,ccm_dizi_G0002,filename_rule,1,false,,17.772971,44100,2,32,,,0.809014,0.0,false,true,false,,drop,excessive_silence,D05a,
ccm_000003,ccm_dizi_0003,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 单吐 第一遍.wav,【A调曲笛】 演奏技法 单吐 第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,technique,【A调曲笛】 演奏技法 单吐,41f4364d3eb21d2ad3a0e1119c37a747d822e469c66588658a14b498619beefc,,ccm_dizi_G0003,ccm_dizi_G0003,filename_rule,1,false,,15.260862,44100,2,32,,,0.895013,0.0,false,true,false,,drop,excessive_silence,D05a,
ccm_000004,ccm_dizi_0004,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 厉音  第一遍.wav,【A调曲笛】 演奏技法 厉音  第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,technique,【A调曲笛】 演奏技法 厉音,50246a51229f293e7f29aed6556f77f16972be38ad0f68ec716dc1c7c27ac257,,ccm_dizi_G0004,ccm_dizi_G0004,filename_rule,1,false,,9.985533,44100,2,32,,,0.701103,0.0,false,true,false,,drop,excessive_silence,D05a,
ccm_000005,ccm_dizi_0005,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 双吐 第一遍.wav,【A调曲笛】 演奏技法 双吐 第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,technique,【A调曲笛】 演奏技法 双吐,c5e554c54118b9dcf9469b2a30dcf509e264f510cfc2578d00f4b7d6ec5d93d6,,ccm_dizi_G0005,ccm_dizi_G0005,filename_rule,1,false,,17.207732,44100,2,32,,,0.731239,0.0,false,true,false,,drop,excessive_silence,D05a,
ccm_000006,ccm_dizi_0006,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 叠音  第一遍.wav,【A调曲笛】 演奏技法 叠音  第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,technique,【A调曲笛】 演奏技法 叠音,258dc444c85d9b9baed7e72276cde0733548ce22c5a7f75fa2e95cd20e5f30e5,33ac25be03151847e0213936167d879c10bc716e851e7168ee011c017ac236f2,ccm_dizi_G0006,ccm_dizi_G0006,filename_rule,1,false,,19.091791,44100,2,32,,,0.350813,0.0,false,true,false,,keep,,,
ccm_000007,ccm_dizi_0007,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 循环换气  第一遍.wav,【A调曲笛】 演奏技法 循环换气  第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,technique,【A调曲笛】 演奏技法 循环换气,4ed820cf1d60810778bc9619c93c6e21c5ab0113e35ac124d6b55d0e6e233139,9b9fe8a415c232835125c5c703b5b2ac62576f87e216026a4d1643eb58acf15b,ccm_dizi_G0007,ccm_dizi_G0007,filename_rule,1,false,,8.79229,44100,2,32,,,0.330673,0.0,false,true,false,,keep,,,
ccm_000008,ccm_dizi_0008,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 打音  第一遍.wav,【A调曲笛】 演奏技法 打音  第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,technique,【A调曲笛】 演奏技法 打音,f925ed313f0fc77682883b272f544785a809260f4236fd4e13a0b0d8025e9f51,25214d8ec1e803e38d96fa8eb1032fb10746e8fe4c1f78962ed88cc48d70c9aa,ccm_dizi_G0008,ccm_dizi_G0008,filename_rule,1,false,,19.468617,44100,2,32,,,0.273522,0.0,false,true,false,,keep,,,
ccm_000009,ccm_dizi_0009,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 指颤音  第一遍.wav,【A调曲笛】 演奏技法 指颤音  第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,technique,【A调曲笛】 演奏技法 指颤音,c119d750c9b30001e0b61d42dd837bef0bf785ad0da84f86089c993fb698a318,,ccm_dizi_G0009,ccm_dizi_G0009,filename_rule,1,false,,5.526576,44100,2,32,,,0.77314,0.0,false,true,false,,drop,excessive_silence,D05a,
ccm_000010,ccm_dizi_0010,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 泛音  第二遍.wav,【A调曲笛】 演奏技法 泛音  第二遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,technique,【A调曲笛】 演奏技法 泛音,0c8a5dda9b360711c36238c5afa5006c7255d531d01896ff079524dc75ade710,b6d6cee0183d1c9be2b0fb8a02163d9a55d430013e7d0956af9251dd627453f0,ccm_dizi_G0010,ccm_dizi_G0010,filename_rule,2,false,,12.183583,44100,2,32,,,0.143914,0.0,false,true,false,,keep,,,
