record_id,sample_id,source_dataset,source_path,file_name,file_ext,source_subtype_dir,family_label,subtype_label,chmusic_class_id,content_type,normalized_base_name,audio_sha256,audio_fingerprint_id,performer_or_recording_id,recording_group_id,grouping_method,take_id,is_near_duplicate,split_seed,split,duration_sec,sample_rate_hz,channels,bit_depth,integrated_loudness_lufs,rms_db,silence_ratio,clipping_ratio,has_vocal,is_decodable,manual_review_required,manual_review_status,sample_status,applied_rule_ids,notes
ccm_000001,ccm_dizi_0001,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 乐曲片段 《鹧鸪飞》.wav,【A调曲笛】 乐曲片段 《鹧鸪飞》.wav,.wav,A调曲笛,笛子,A调曲笛,-1,phrase,【A调曲笛】 乐曲片段 《鹧鸪飞》,f8ed851b3961d04aba65048f3fe7352659e9d756eaa25a54089e691fa3a3576d,593a1a22d013a08be43e3b88a75f5fea3df8df6229642fe3bec09b0894705f96,ccm_dizi_G0001,ccm_dizi_G0001,filename_rule,0,false,1,val,27.193243,44100,2,32,,,0.193596,0.0,false,true,false,,keep,,
ccm_000006,ccm_dizi_0006,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 叠音  第一遍.wav,【A调曲笛】 演奏技法 叠音  第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,technique,【A调曲笛】 演奏技法 叠音,258dc444c85d9b9baed7e72276cde0733548ce22c5a7f75fa2e95cd20e5f30e5,33ac25be03151847e0213936167d879c10bc716e851e7168ee011c017ac236f2,ccm_dizi_G0006,ccm_dizi_G0006,filename_rule,1,false,1,train,19.091791,44100,2,32,,,0.350813,0.0,false,true,false,,keep,,
ccm_000007,ccm_dizi_0007,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 循环换气  第一遍.wav,【A调曲笛】 演奏技法 循环换气  第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,technique,【A调曲笛】 演奏技法 循环换气,4ed820cf1d60810778bc9619c93c6e21c5ab0113e35ac124d6b55d0e6e233139,9b9fe8a415c232835125c5c703b5b2ac62576f87e216026a4d1643eb58acf15b,ccm_dizi_G0007,ccm_dizi_G0007,filename_rule,1,false,1,val,8.79229,44100,2,32,,,0.330673,0.0,false,true,false,,keep,,
ccm_000008,ccm_dizi_0008,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 打音  第一遍.wav,【A调曲笛】 演奏技法 打音  第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,technique,【A调曲笛】 演奏技法 打音,f925ed313f0fc77682883b272f544785a809260f4236fd4e13a0b0d8025e9f51,25214d8ec1e803e38d96fa8eb1032fb10746e8fe4c1f78962ed88cc48d70c9aa,ccm_dizi_G0008,ccm_dizi_G0008,filename_rule,1,false,1,val,19.468617,44100,2,32,,,0.273522,0.0,false,true,false,,keep,,
ccm_000010,ccm_dizi_0010,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 泛音  第二遍.wav,【A调曲笛】 演奏技法 泛音  第二遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,technique,【A调曲笛】 演奏技法 泛音,0c8a5dda9b360711c36238c5afa5006c7255d531d01896ff079524dc75ade710,b6d6cee0183d1c9be2b0fb8a02163d9a55d430013e7d0956af9251dd627453f0,ccm_dizi_G0010,ccm_dizi_G0010,filename_rule,2,false,1,train,12.183583,44100,2,32,,,0.143914,0.0,false,true,false,,keep,,
ccm_000012,ccm_dizi_0012,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 演奏技法 花舌  第一遍.wav,【A调曲笛】 演奏技法 花舌  第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,technique,【A调曲笛】 演奏技法 花舌,65a97b0e1e60293e0c630bddac5f0ca626f3976b8fbaf6a9032813ee9eb25a3c,d742eae0d467ecb2a27e759f2f63ab3890af3475b3e83433fafc57583ef4c581,ccm_dizi_G0012,ccm_dizi_G0012,filename_rule,1,false,1,train,24.053152,44100,2,32,,,0.255098,0.0,false,true,false,,keep,,
ccm_000014,ccm_dizi_0013,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 筒音 自然衰减 力度中强 第一遍.wav,【A调曲笛】 筒音 自然衰减 力度中强 第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,controlled,【A调曲笛】 筒音 自然衰减 力度中强,3cef96e0d9e6fbe3b2c87b46e3cd287e1f3b6a8bac8ff4bf19c5f4a2778c9a1c,9ebbb12764f36dac1ef924fefc4bedc5b1a29ed0de3c5dc3aeb3425f4b05801a,ccm_dizi_G0013,ccm_dizi_G0013,filename_rule,1,false,1,val,5.924082,44100,2,32,,,0.216949,0.0,false,true,false,,keep,,
ccm_000016,ccm_dizi_0016,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 音阶 自然衰减 力度中强 第二遍.wav,【A调曲笛】 音阶 自然衰减 力度中强 第二遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,controlled,【A调曲笛】 音阶 自然衰减 力度中强,062eef2b2b0fb3c06311028d078cd828efb131d887df61b67064d204b74ac035,f3a6f79f2f8e33bdd79e28bbd692bdce8d6f038964df8668e4575479e11bcb40,ccm_dizi_G0016,ccm_dizi_G0016,filename_rule,2,false,1,train,44.840567,44100,2,32,,,0.32307,0.0,false,true,false,,keep,,
ccm_000017,ccm_dizi_0017,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 音阶 速度慢 力度中强 第一遍.wav,【A调曲笛】 音阶 速度慢 力度中强 第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,controlled,【A调曲笛】 音阶 速度慢 力度中强,f382a458451ef404f1febc9239d7f0e513fb8f2f387ceb677bf194649a224e16,a663af1183240634d24a0c9887737cf2bca8ed53cb29b1ae087cae9bd4c77f00,ccm_dizi_G0017,ccm_dizi_G0017,filename_rule,1,false,1,train,26.0,44100,2,32,,,0.543495,0.0,false,true,false,,keep,,
ccm_000019,ccm_dizi_0019,CCMusic,/Volumes/nvmeBU/CCMUSIC_CTIS/ccmusic_ctis_audio/A调曲笛/【A调曲笛】 音阶 速度慢 力度强 第一遍.wav,【A调曲笛】 音阶 速度慢 力度强 第一遍.wav,.wav,A调曲笛,笛子,A调曲笛,-1,controlled,【A调曲笛】 音阶 速度慢 力度强,423ae876904102e901e14c1b205130d47a405a7d6ebda890372992a1a822f403,abf5ea48c0326e74f2402f4c18032975966307458cdfbba1da9bca02c7986cc1,ccm_dizi_G0019,ccm_dizi_G0019,filename_rule,1,false,1,train,25.330113,44100,2,32,,,0.501778,0.0,false,true,false,,keep,,
