method,model,split,label_id,label,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
CLAP linear probe,clap_htsat_unfused,external_test,0,二胡,0.5175734155969982,0.0065599390225215045,0.43987847128241214,0.06735943338260955,0.6548672566371682,0.10765951381058794
CLAP linear probe,clap_htsat_unfused,external_test,1,琵琶,0.503855771362835,0.1544644054215434,0.9733333333333333,0.046188021535170036,0.3490196078431372,0.14615407963595475
CLAP linear probe,clap_htsat_unfused,external_test,2,中阮,0.6982176237743576,0.02918023334568627,0.6143183624801272,0.054090276012216845,0.8120567375886525,0.01625026842182922
CLAP linear probe,clap_htsat_unfused,external_test,3,笛子,0.4908959103751775,0.24152328681247484,0.950932915539097,0.028520044426751334,0.3546099290780142,0.23339691733197637
CLAP linear probe,clap_htsat_unfused,external_test,4,唢呐,0.4491584731026035,0.03544795059125684,0.4213556505223172,0.02357184917370757,0.48148148148148145,0.05132002392796671
CLAP linear probe,clap_htsat_unfused,external_test,5,笙,0.8841730553205963,0.026555784690018784,0.8537255944376687,0.07473064228053983,0.9236499068901303,0.05921084951800615
CLAP linear probe,clap_htsat_unfused,test,0,二胡,0.8775459513164431,0.06390751696295269,0.9210233592880979,0.053218570473440266,0.8432916787755498,0.10969701641204518
CLAP linear probe,clap_htsat_unfused,test,1,琵琶,1.0,0.0,1.0,0.0,1.0,0.0
CLAP linear probe,clap_htsat_unfused,test,2,中阮,1.0,0.0,1.0,0.0,1.0,0.0
CLAP linear probe,clap_htsat_unfused,test,3,笛子,0.9281915933528837,0.016695087894819,0.9558381911323087,0.04014053358017445,0.9043238507524222,0.047547735149327315
CLAP linear probe,clap_htsat_unfused,test,4,唢呐,0.9610165495307036,0.02551963515734298,0.9309523809523809,0.03933978962347213,0.9934640522875817,0.011320593513522033
CLAP linear probe,clap_htsat_unfused,test,5,笙,0.9602019535176822,0.02378117306729541,0.9308899808899809,0.04335633489294469,0.9922480620155039,0.013426750446270392
CLAP linear probe,clap_htsat_unfused,val,0,二胡,0.8760792396656362,0.06710136006663636,0.8872234935163997,0.056072984549953915,0.8717332050665384,0.11799749974952563
CLAP linear probe,clap_htsat_unfused,val,1,琵琶,1.0,0.0,1.0,0.0,1.0,0.0
CLAP linear probe,clap_htsat_unfused,val,2,中阮,1.0,0.0,1.0,0.0,1.0,0.0
CLAP linear probe,clap_htsat_unfused,val,3,笛子,0.8799430641821946,0.05841070935451886,0.8927110249784668,0.08218877481588176,0.8702731092436974,0.06533537449907939
CLAP linear probe,clap_htsat_unfused,val,4,唢呐,0.9649698960043788,0.030734307917605782,0.947114556416882,0.04678739190586039,0.983933410762679,0.013917103730560362
CLAP linear probe,clap_htsat_unfused,val,5,笙,0.9809246979743845,0.016555618325825024,0.9807552650689907,0.019617926883427873,0.9812121212121211,0.01821209600159603
CLAP zero-shot,clap_htsat_unfused,external_test,0,二胡,0.0,0.0,0.0,0.0,0.0,0.0
CLAP zero-shot,clap_htsat_unfused,external_test,1,琵琶,0.0194174757281553,0.0,0.0555555555555555,0.0,0.0117647058823529,0.0
CLAP zero-shot,clap_htsat_unfused,external_test,2,中阮,0.0,0.0,0.0,0.0,0.0,0.0
CLAP zero-shot,clap_htsat_unfused,external_test,3,笛子,0.2839506172839506,0.0,0.1660649819494584,0.0,0.9787234042553191,1.3597399555105182e-16
CLAP zero-shot,clap_htsat_unfused,external_test,4,唢呐,0.0,0.0,0.0,0.0,0.0,0.0
