method,model,split,seed_count,num_samples_per_seed,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std
CLAP linear probe,clap_htsat_unfused,external_test,3,610,0.6562841530054645,0.049244038878276816,0.590645708255428,0.07159763559772518,0.7089240545991594,0.019763074056218622,0.5959474865864306,0.0555596398775218
CLAP linear probe,clap_htsat_unfused,test,3,233,0.9511378618296064,0.004468673885515956,0.9544926746196188,0.007233925621218943,0.9564506520437948,0.004433409852992741,0.9555546073051762,0.010402213189302971
CLAP linear probe,clap_htsat_unfused,val,3,221,0.957911462515043,0.026122037975207395,0.950319482971099,0.02686353757947499,0.9513007233301232,0.023970184360776615,0.9511919743808394,0.02930405169626471
CLAP zero-shot,clap_htsat_unfused,external_test,3,610,0.21147540983606558,0.0,0.10586088800585791,0.0,0.19483149309294093,0.0,0.19860090476223768,0.0
CLAP zero-shot,clap_htsat_unfused,test,3,233,0.07045507286493263,0.025690801039684113,0.04653807437720439,0.014996543293784099,0.03694062649920035,0.01057448672730849,0.06432574951401086,0.02381789966492133
MERT linear probe,mert_v1_95m,external_test,3,610,0.453551912568306,0.013148862749197781,0.3959420913432683,0.01382830124520683,0.4629775939591371,0.018643846802985118,0.5036366035344174,0.016562828617337284
MERT linear probe,mert_v1_95m,test,3,233,0.9576549154995829,0.04182273613297961,0.96746212234717,0.02984861231521796,0.966642518739293,0.03053658653701211,0.9708846065951587,0.02524056736912026
MERT linear probe,mert_v1_95m,val,3,221,0.9618085722945059,0.017404938645032862,0.9551078516788082,0.02478654784764363,0.9698889363404231,0.016668618342476335,0.9503120434862905,0.026020006682404912
MFCC+SVM,mfcc_svm,external_test,3,610,0.19890710382513663,0.0278849198298865,0.11691468092659725,0.02598999891226265,0.2882938021825155,0.09606855821036064,0.24388150196073402,0.017516541727396216
MFCC+SVM,mfcc_svm,test,3,233,0.9877415916294988,0.010685990572030152,0.9904577344006777,0.008408222679621978,0.9900268814412633,0.008676014781457372,0.9911622509661725,0.008025048558453228
MFCC+SVM,mfcc_svm,val,3,221,0.9754589135663304,0.009430424100747714,0.9794207654587038,0.006416696618434771,0.9818144368746169,0.009300915717145234,0.9777872531999375,0.0034819013872580793
