method,model,split,label_id,label,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
MERT full fine-tuning,mert_v1_95m,external_test,0,二胡,0.37730460498521334,0.3727117708865757,0.47903903903903905,0.4199561056804221,0.3746312684365782,0.4455058635488041
MERT full fine-tuning,mert_v1_95m,external_test,1,琵琶,0.6001985601713963,0.10097412107044544,0.535021963863611,0.08394782424866651,0.7019607843137255,0.20252158954784877
MERT full fine-tuning,mert_v1_95m,external_test,2,中阮,0.11299435028248588,0.19571195565750024,0.2777777777777778,0.4811252243246882,0.07092198581560284,0.12284048280630334
MERT full fine-tuning,mert_v1_95m,external_test,3,笛子,0.15197260240099894,0.17354921199213097,0.24430641821946167,0.33684835733289,0.12056737588652482,0.11718235206991703
MERT full fine-tuning,mert_v1_95m,external_test,4,唢呐,0.2741385822365299,0.13042161459341972,0.164002804236719,0.0925137406094939,0.9925925925925926,0.012830005981991766
MERT full fine-tuning,mert_v1_95m,external_test,5,笙,0.17233560090702946,0.2162295308705916,0.37289002557544765,0.3242228449121338,0.1322160148975791,0.18277066603076303
MERT full fine-tuning,mert_v1_95m,test,0,二胡,0.9743915343915344,0.01910397307326432,0.9505083732057417,0.03595332194188847,1.0,0.0
MERT full fine-tuning,mert_v1_95m,test,1,琵琶,0.9629629629629629,0.06415002990995845,0.9333333333333332,0.11547005383792512,1.0,0.0
MERT full fine-tuning,mert_v1_95m,test,2,中阮,1.0,0.0,1.0,0.0,1.0,0.0
MERT full fine-tuning,mert_v1_95m,test,3,笛子,0.9797257012352804,0.015529761772870382,0.9816135084427767,0.016239463420924884,0.9780457637600496,0.0227666792012368
MERT full fine-tuning,mert_v1_95m,test,4,唢呐,0.9786014253599274,0.007700953258148657,0.9904761904761905,0.016495721976846456,0.9676973353443943,0.0294608722315472
MERT full fine-tuning,mert_v1_95m,test,5,笙,0.9694005391679811,0.022214118623296076,0.9737295434969854,0.027900196962524586,0.9651825349499769,0.017999266847856073
MERT full fine-tuning,mert_v1_95m,val,0,二胡,0.9889642695612846,0.00969492745325227,0.9782913165266107,0.019062545642599675,1.0,0.0
MERT full fine-tuning,mert_v1_95m,val,1,琵琶,0.989247311827957,0.018624202231923397,0.9791666666666666,0.03608439182435161,1.0,0.0
MERT full fine-tuning,mert_v1_95m,val,2,中阮,1.0,0.0,1.0,0.0,1.0,0.0
MERT full fine-tuning,mert_v1_95m,val,3,笛子,0.945925925925926,0.013394919496314935,0.9453044375644994,0.05275285002737692,0.951530612244898,0.06705836442905572
MERT full fine-tuning,mert_v1_95m,val,4,唢呐,0.9873417721518987,0.021924693766694637,1.0,0.0,0.975609756097561,0.04224514164802137
