method,model,split,seed_count,num_samples_per_seed,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std
MERT full fine-tuning,mert_v1_95m,external_test,3,610,0.3087431693989071,0.16511324799549215,0.281490716830609,0.13616409991010187,0.34550633811867604,0.11153787030785073,0.3988150036571005,0.13940952398254078
MERT full fine-tuning,mert_v1_95m,test,3,233,0.9804915534357135,0.009757333919092956,0.9775136938529477,0.014480347122166186,0.9716101581591712,0.021671524789861833,0.9851542723424034,0.006225964516963516
MERT full fine-tuning,mert_v1_95m,val,3,221,0.9831758573446554,0.008139994287662268,0.9814231567200616,0.0028804928349975122,0.9806842101540245,0.009453935782534008,0.9833855456447176,0.008031274054452017
MERT linear probe,mert_v1_95m,external_test,3,610,0.453551912568306,0.013148862749197781,0.3959420913432683,0.01382830124520683,0.4629775939591371,0.018643846802985118,0.5036366035344174,0.016562828617337284
MERT linear probe,mert_v1_95m,test,3,233,0.9576549154995829,0.04182273613297961,0.96746212234717,0.02984861231521796,0.966642518739293,0.03053658653701211,0.9708846065951587,0.02524056736912026
MERT linear probe,mert_v1_95m,val,3,221,0.9618085722945059,0.017404938645032862,0.9551078516788082,0.02478654784764363,0.9698889363404231,0.016668618342476335,0.9503120434862905,0.026020006682404912
MERT+LoRA (r=4),mert_v1_95m,external_test,3,610,0.42568306010928963,0.11984417605409879,0.34846912756911724,0.17674015724012074,0.4361663407925442,0.17073093900944936,0.39448356130034307,0.18366839540020535
MERT+LoRA (r=4),mert_v1_95m,test,3,233,0.8018558006680842,0.08613720439703143,0.755214485885674,0.13046925108634944,0.7999690366208939,0.12487918787648854,0.7830646951006281,0.09483426365510596
MERT+LoRA (r=4),mert_v1_95m,val,3,221,0.8103682474526465,0.02931235003943252,0.7265193147871077,0.06592100245162899,0.781758373972,0.08221361310813653,0.7395733025600113,0.07847139389826648
MERT+LoRA (r=8),mert_v1_95m,external_test,3,610,0.4502732240437159,0.05241630775134409,0.39961821062185415,0.07789760904422202,0.49743853143262085,0.045139023016862845,0.44512603658484085,0.0940421482336914
MERT+LoRA (r=8),mert_v1_95m,test,3,233,0.817812399082051,0.046984075312510906,0.7603358025699136,0.08744327767635024,0.8015212079733954,0.08561252961610644,0.8032831360932556,0.06290958413860237
MERT+LoRA (r=8),mert_v1_95m,val,3,221,0.8691049302302499,0.04999770396249026,0.7758406004103663,0.11914020584854355,0.8483808420170971,0.13706842532148167,0.7687112870220888,0.1081637003853956
