method,model,ratio_name,ratio_value,seed_count,total_params,trainable_params_mean,trainable_params_std,trainable_ratio_mean,trainable_ratio_std,feature_prep_time_sec_mean,feature_prep_time_sec_std,train_wall_time_sec_mean,train_wall_time_sec_std,total_method_time_sec_mean,total_method_time_sec_std,mean_epoch_time_sec_mean,mean_epoch_time_sec_std,mean_train_step_time_ms_mean,mean_train_step_time_ms_std,peak_device_memory_mb_mean,peak_device_memory_mb_std
MERT full fine-tuning,mert_v1_95m,train10,0.1,3,94376326,94376326.0,0.0,1.0,0.0,0.0,0.0,779.8759999999999,120.66155207024319,779.8759999999999,120.66155207024319,59.64600000000001,2.757237929522948,318.0026666666667,1.9172108213061183,,
MERT full fine-tuning,mert_v1_95m,train100,1.0,3,94376326,94376326.0,0.0,1.0,0.0,0.0,0.0,1335.8463333333334,534.7810231415597,1335.8463333333334,534.7810231415597,148.34033333333332,1.9589937042607806,323.40366666666665,2.651881658998635,,
MERT full fine-tuning,mert_v1_95m,train25,0.25,3,94376326,94376326.0,0.0,1.0,0.0,0.0,0.0,850.445,166.95184665046384,850.445,166.95184665046384,77.59166666666667,3.398224585475976,322.3043333333333,2.213402433660293,,
MERT full fine-tuning,mert_v1_95m,train50,0.5,3,94376326,94376326.0,0.0,1.0,0.0,0.0,0.0,968.2733333333332,253.96046861142253,968.2733333333332,253.96046861142253,99.325,4.423332680231046,323.0463333333334,4.352634298138696,,
MERT linear probe,mert_v1_95m,train10,0.1,3,94376326,4614.0,0.0,4.888937931319768e-05,0.0,117.71499999999999,2.4456884511319092,0.6496666666666666,0.30201379659434985,118.36500000000001,2.561676989786182,0.023000000000000003,0.0010000000000000009,0.7106666666666667,0.17805991500990148,,
MERT linear probe,mert_v1_95m,train100,1.0,3,94376326,4614.0,0.0,4.888937931319768e-05,0.0,140.667,2.379169813191156,2.9393333333333334,0.9084147364135686,143.6063333333333,2.1657041195263282,0.09200000000000001,0.0030000000000000027,0.49133333333333334,0.01386842937514316,,
MERT linear probe,mert_v1_95m,train25,0.25,3,94376326,4614.0,0.0,4.888937931319768e-05,0.0,125.68,3.625798119035307,1.1836666666666666,0.32918282660754544,126.86366666666667,3.3811219045360357,0.03566666666666667,0.004509249752822894,0.593,0.04214261501141094,,
MERT linear probe,mert_v1_95m,train50,0.5,3,94376326,4614.0,0.0,4.888937931319768e-05,0.0,130.331,2.4053571460388214,1.640666666666667,0.8205244257993379,131.97166666666666,2.7892723662871974,0.05933333333333333,0.012342339054382407,0.6093333333333333,0.10960991439342214,,
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,3,94523782,152070.0,0.0,0.0016088014760137295,0.0,0.0,0.0,1378.6576666666667,361.7213170665137,1378.6576666666667,361.7213170665137,56.345,2.0786026556319013,152.692,1.9489204704143215,,
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,3,94523782,152070.0,0.0,0.0016088014760137295,0.0,0.0,0.0,1257.7553333333333,291.2394352784892,1257.7553333333333,291.2394352784892,118.008,1.3332565394551779,153.1726666666667,0.48094732906353005,,
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,3,94523782,152070.0,0.0,0.0016088014760137295,0.0,0.0,0.0,1170.27,239.27252200576638,1170.27,239.27252200576638,69.96933333333334,2.3903559009765307,153.519,0.3868190791571631,,
MERT+LoRA (r=4),mert_v1_95m,train50,0.5,3,94523782,152070.0,0.0,0.0016088014760137295,0.0,0.0,0.0,1039.941,146.4034310970887,1039.941,146.4034310970887,84.586,2.612428755009405,153.26333333333332,0.8426887523477066,,
MERT+LoRA (r=8),mert_v1_95m,train10,0.1,3,94671238,299526.0,0.0,0.003163854263741645,5.311484201212962e-19,0.0,0.0,1250.2446666666665,325.14762006869023,1250.2446666666665,325.14762006869023,56.344,2.0671729487394135,153.83133333333333,1.6699863272893363,,
MERT+LoRA (r=8),mert_v1_95m,train100,1.0,3,94671238,299526.0,0.0,0.003163854263741645,5.311484201212962e-19,0.0,0.0,1581.9189999999999,694.2139496070358,1581.9189999999999,694.2139496070358,118.59166666666665,1.5853965855057663,155.64100000000002,1.8645768957058337,,
MERT+LoRA (r=8),mert_v1_95m,train25,0.25,3,94671238,299526.0,0.0,0.003163854263741645,5.311484201212962e-19,0.0,0.0,1105.0623333333333,541.8943605780865,1105.0623333333333,541.8943605780865,69.985,2.247096126114768,154.95766666666668,0.44338734006886105,,
MERT+LoRA (r=8),mert_v1_95m,train50,0.5,3,94671238,299526.0,0.0,0.003163854263741645,5.311484201212962e-19,0.0,0.0,1210.26,280.69636526859415,1210.26,280.69636526859415,84.56866666666667,2.6805302336167256,154.61833333333334,0.13390419460693384,,
