method,model,ratio_name,ratio_value,split,label_id,label,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
MERT full fine-tuning,mert_v1_95m,train10,0.1,external_test,0,二胡,0.050253378378378365,0.07392374198344474,0.11746031746031743,0.14947628402531496,0.032448377581120895,0.04873956236536373
MERT full fine-tuning,mert_v1_95m,train10,0.1,external_test,1,琵琶,0.6032052851013444,0.1278328992687216,0.5286363672162228,0.08977505920573293,0.7058823529411765,0.18823529411764706
MERT full fine-tuning,mert_v1_95m,train10,0.1,external_test,2,中阮,0.024922118380062298,0.04316637526651407,0.10256410256410257,0.177646236673731,0.014184397163120567,0.024568096561260667
MERT full fine-tuning,mert_v1_95m,train10,0.1,external_test,3,笛子,0.39725343068464314,0.26117124157868377,0.4853138005311919,0.06091647804857088,0.4858156028368794,0.3819924258012831
MERT full fine-tuning,mert_v1_95m,train10,0.1,external_test,4,唢呐,0.3018613699658073,0.22844136578834331,0.26163719280612524,0.1656114950594732,0.39999999999999997,0.38745768387028207
MERT full fine-tuning,mert_v1_95m,train10,0.1,external_test,5,笙,0.5030928320508009,0.15234673985677366,0.4153215879064443,0.16763367633624685,0.6573556797020483,0.09713818514521398
MERT full fine-tuning,mert_v1_95m,train10,0.1,test,0,二胡,0.9499308182709821,0.04606481150928276,0.9202648038210587,0.059398639267941984,0.981981981981982,0.031208122658898628
MERT full fine-tuning,mert_v1_95m,train10,0.1,test,1,琵琶,0.7195878702728017,0.1384685299581607,0.7601626016260162,0.2506189047446887,0.8148148148148149,0.3207501495497921
MERT full fine-tuning,mert_v1_95m,train10,0.1,test,2,中阮,0.9785932721712539,0.03707754022318688,0.9597701149425287,0.06968020490219623,1.0,0.0
MERT full fine-tuning,mert_v1_95m,train10,0.1,test,3,笛子,0.7321650963829326,0.23994966150225625,0.9547764227642276,0.03952651113230568,0.6459802102659244,0.3234313610810567
MERT full fine-tuning,mert_v1_95m,train10,0.1,test,4,唢呐,0.7966016647394819,0.13243761260148795,0.7899589927891815,0.2332762644080392,0.831447963800905,0.047443929808847894
MERT full fine-tuning,mert_v1_95m,train10,0.1,test,5,笙,0.6862584105037056,0.19332927001322017,0.6451655982905983,0.1474883270884713,0.7501656397005233,0.2760557326480366
MERT full fine-tuning,mert_v1_95m,train10,0.1,val,0,二胡,0.9387890479574915,0.04381322548259421,0.948529411764706,0.0653543707155558,0.9382716049382717,0.1069167165165974
MERT full fine-tuning,mert_v1_95m,train10,0.1,val,1,琵琶,0.6555555555555556,0.35013225014641625,0.6805555555555555,0.3127313958110473,0.6388888888888888,0.37577081273524116
MERT full fine-tuning,mert_v1_95m,train10,0.1,val,2,中阮,0.9806233062330624,0.02683029479846231,0.9628776241679468,0.05097169853905967,1.0,0.0
MERT full fine-tuning,mert_v1_95m,train10,0.1,val,3,笛子,0.619950961414376,0.34656905768398505,0.9343434343434344,0.08877977692548958,0.5534713885554221,0.38837413784035524
MERT full fine-tuning,mert_v1_95m,train10,0.1,val,4,唢呐,0.8339799122475012,0.08820133713879144,0.7683862433862435,0.15893455754997488,0.9334852139730189,0.03979694873200044
