experiment_id,run_id,method,model,ratio_name,ratio_value,seed_name,device_type,total_params,trainable_params,trainable_ratio,feature_prep_time_sec,train_wall_time_sec,total_method_time_sec,mean_epoch_time_sec,mean_train_step_time_ms,peak_device_memory_mb,memory_metric_available,subset_train_group_count,subset_train_segment_count
exp03_mert_linear,run_exp03_mert_linear_train10_seed0,MERT linear probe,mert_v1_95m,train10,0.1,seed0,mps,94376326,4614,4.888937931319768e-05,115.687,0.338,116.025,0.023,0.908,,False,23,97
exp03_mert_linear,run_exp03_mert_linear_train10_seed1,MERT linear probe,mert_v1_95m,train10,0.1,seed1,mps,94376326,4614,4.888937931319768e-05,120.431,0.67,121.102,0.022,0.662,,False,23,114
exp03_mert_linear,run_exp03_mert_linear_train10_seed2,MERT linear probe,mert_v1_95m,train10,0.1,seed2,mps,94376326,4614,4.888937931319768e-05,117.027,0.941,117.968,0.024,0.562,,False,23,151
exp03_mert_linear,run_exp03_mert_linear_train25_seed0,MERT linear probe,mert_v1_95m,train25,0.25,seed0,mps,94376326,4614,4.888937931319768e-05,122.662,1.563,124.225,0.031,0.553,,False,50,231
exp03_mert_linear,run_exp03_mert_linear_train25_seed1,MERT linear probe,mert_v1_95m,train25,0.25,seed1,mps,94376326,4614,4.888937931319768e-05,129.702,0.973,130.675,0.04,0.637,,False,50,314
exp03_mert_linear,run_exp03_mert_linear_train25_seed2,MERT linear probe,mert_v1_95m,train25,0.25,seed2,mps,94376326,4614,4.888937931319768e-05,124.676,1.015,125.691,0.036,0.589,,False,51,271
exp03_mert_linear,run_exp03_mert_linear_train50_seed0,MERT linear probe,mert_v1_95m,train50,0.5,seed0,mps,94376326,4614,4.888937931319768e-05,129.3,2.352,131.652,0.073,0.725,,False,97,553
exp03_mert_linear,run_exp03_mert_linear_train50_seed1,MERT linear probe,mert_v1_95m,train50,0.5,seed1,mps,94376326,4614,4.888937931319768e-05,133.08,1.827,134.907,0.049,0.507,,False,98,482
exp03_mert_linear,run_exp03_mert_linear_train50_seed2,MERT linear probe,mert_v1_95m,train50,0.5,seed2,mps,94376326,4614,4.888937931319768e-05,128.613,0.743,129.356,0.056,0.596,,False,99,490
exp03_mert_linear,run_exp03_mert_linear_train100_seed0,MERT linear probe,mert_v1_95m,train100,1.0,seed0,mps,94376326,4614,4.888937931319768e-05,139.584,3.988,143.572,0.092,0.495,,False,192,1067
exp03_mert_linear,run_exp03_mert_linear_train100_seed1,MERT linear probe,mert_v1_95m,train100,1.0,seed1,mps,94376326,4614,4.888937931319768e-05,143.395,2.394,145.789,0.095,0.503,,False,192,1065
exp03_mert_linear,run_exp03_mert_linear_train100_seed2,MERT linear probe,mert_v1_95m,train100,1.0,seed2,mps,94376326,4614,4.888937931319768e-05,139.022,2.436,141.458,0.089,0.476,,False,195,1029
