method,model,ratio_name,ratio_value,split,seed_count,num_samples_per_seed,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std
MERT full fine-tuning,mert_v1_95m,train10,0.1,external_test,3,610,0.40382513661202185,0.12424816448629629,0.3134314024268394,0.10613234234951464,0.3184888947474007,0.03098569693963857,0.38261440170405764,0.1554563983889352
MERT full fine-tuning,mert_v1_95m,train10,0.1,test,3,233,0.8337930497279605,0.08984776577455897,0.810522855390193,0.0854542320273155,0.838349755705602,0.07409102704898857,0.837398435094025,0.09111772497083301
MERT full fine-tuning,mert_v1_95m,train10,0.1,val,3,221,0.8265500794912559,0.1122834179651629,0.7926155335185824,0.16835058021345703,0.8382094397203312,0.09589776921794738,0.7987343110681796,0.17019510537305485
MERT full fine-tuning,mert_v1_95m,train100,1.0,external_test,3,610,0.3087431693989071,0.16511324799549215,0.281490716830609,0.13616409991010187,0.34550633811867604,0.11153787030785073,0.3988150036571005,0.13940952398254078
MERT full fine-tuning,mert_v1_95m,train100,1.0,test,3,233,0.9804915534357135,0.009757333919092956,0.9775136938529477,0.014480347122166186,0.9716101581591712,0.021671524789861833,0.9851542723424034,0.006225964516963516
MERT full fine-tuning,mert_v1_95m,train100,1.0,val,3,221,0.9831758573446554,0.008139994287662268,0.9814231567200616,0.0028804928349975122,0.9806842101540245,0.009453935782534008,0.9833855456447176,0.008031274054452017
MERT full fine-tuning,mert_v1_95m,train25,0.25,external_test,3,610,0.3273224043715847,0.09469016694759624,0.28887723981413327,0.08850800577608531,0.3966013499161855,0.2201354707069001,0.4015609152731403,0.06436284671366682
MERT full fine-tuning,mert_v1_95m,train25,0.25,test,3,233,0.9528593641076714,0.03120602767851935,0.9388286003983805,0.04582259811433731,0.9492633094428772,0.024727918267931942,0.9392555698949524,0.058993876817009766
MERT full fine-tuning,mert_v1_95m,train25,0.25,val,3,221,0.9336805426319493,0.023646516031086307,0.9306688319579984,0.025195566075368176,0.9404701334379504,0.01554067048046195,0.9306656046256886,0.026859563431502483
MERT full fine-tuning,mert_v1_95m,train50,0.5,external_test,3,610,0.3092896174863388,0.10114014550817078,0.3005603264862933,0.07445049551751502,0.45100088579244163,0.05638840371786602,0.40694299409363,0.09704997378833762
MERT full fine-tuning,mert_v1_95m,train50,0.5,test,3,233,0.9664514252715121,0.012035652013310034,0.9705363979734342,0.010613477450921125,0.9684866183128906,0.012705551502851504,0.9746858904487072,0.007639499607936404
MERT full fine-tuning,mert_v1_95m,train50,0.5,val,3,221,0.9624755189972581,0.044363169531543345,0.9554678760886253,0.05984763509798808,0.9710191755502993,0.033638021672561524,0.9468949894293487,0.07483486692657187
MERT linear probe,mert_v1_95m,train10,0.1,external_test,3,610,0.2699453551912568,0.05856689781185994,0.17863219512579406,0.0805192668220404,0.19997603280253676,0.10049473108239883,0.22488714301901006,0.09400924182581628
MERT linear probe,mert_v1_95m,train10,0.1,test,3,233,0.6284047238351708,0.11357146992565204,0.5639018032291405,0.14802240475029824,0.6518918145864149,0.11663589931336318,0.6140004449823201,0.10968289717488856
MERT linear probe,mert_v1_95m,train10,0.1,val,3,221,0.7031348090171621,0.09017468868165439,0.623177601082019,0.18881181346620163,0.6479282813269981,0.2030817314956418,0.6518492572359484,0.1708867136263085
MERT linear probe,mert_v1_95m,train100,1.0,external_test,3,610,0.453551912568306,0.013148862749197781,0.3959420913432683,0.01382830124520683,0.4629775939591371,0.018643846802985118,0.5036366035344174,0.016562828617337284
MERT linear probe,mert_v1_95m,train100,1.0,test,3,233,0.9576549154995829,0.04182273613297961,0.96746212234717,0.02984861231521796,0.966642518739293,0.03053658653701211,0.9708846065951587,0.02524056736912026
MERT linear probe,mert_v1_95m,train100,1.0,val,3,221,0.9618085722945059,0.017404938645032862,0.9551078516788082,0.02478654784764363,0.9698889363404231,0.016668618342476335,0.9503120434862905,0.026020006682404912
MERT linear probe,mert_v1_95m,train25,0.25,external_test,3,610,0.3530054644808743,0.01642074229652102,0.282691465017458,0.0562254443133738,0.3939042559528936,0.08523025784526995,0.33539582475716706,0.044754504644917724
MERT linear probe,mert_v1_95m,train25,0.25,test,3,233,0.8492092553452174,0.03864876219532281,0.8761371847743741,0.011980955797454137,0.894299495009022,0.013227606852289388,0.8828757380548952,0.012693869044985253
MERT linear probe,mert_v1_95m,train25,0.25,val,3,221,0.8473298204756006,0.04680679544450826,0.8126520836077673,0.04036632289776156,0.8623175454347459,0.024110215793154068,0.8140726401751829,0.05331427854229368
MERT linear probe,mert_v1_95m,train50,0.5,external_test,3,610,0.3825136612021858,0.03688828159942661,0.3120957730557497,0.035559838821733025,0.4071802529999229,0.09617363283455124,0.39024175024006125,0.022401571281848238
MERT linear probe,mert_v1_95m,train50,0.5,test,3,233,0.9150721485818224,0.04566435347461337,0.9283976398444223,0.03371194522691893,0.930090448351948,0.031418406914266894,0.9325348674821021,0.0320582374850261
MERT linear probe,mert_v1_95m,train50,0.5,val,3,221,0.9182117391836062,0.04047883263397887,0.8950381297903679,0.06642275613964647,0.9330674389723562,0.022723315208984764,0.884843660065273,0.0776666827196558
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,external_test,3,610,0.28469945355191256,0.040698461598612956,0.18990729345244042,0.019506110151092448,0.2658855959577011,0.02598406858297674,0.2701598889639627,0.024770324851867313
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,test,3,233,0.5568004758980408,0.08103015391996851,0.44598063760496487,0.0702346158205204,0.5408729840045482,0.1847351859363444,0.5195977389976257,0.048166693271356496
MERT+LoRA (r=4),mert_v1_95m,train10,0.1,val,3,221,0.6402011297151963,0.09786231249559806,0.5051180430012786,0.08007799416241641,0.5330927375303515,0.14367119935250783,0.5791964957083037,0.07081378199585872
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,external_test,3,610,0.42568306010928963,0.11984417605409879,0.34846912756911724,0.17674015724012074,0.4361663407925442,0.17073093900944936,0.39448356130034307,0.18366839540020535
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,test,3,233,0.8018558006680842,0.08613720439703143,0.755214485885674,0.13046925108634944,0.7999690366208939,0.12487918787648854,0.7830646951006281,0.09483426365510596
MERT+LoRA (r=4),mert_v1_95m,train100,1.0,val,3,221,0.8103682474526465,0.02931235003943252,0.7265193147871077,0.06592100245162899,0.781758373972,0.08221361310813653,0.7395733025600113,0.07847139389826648
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,external_test,3,610,0.24808743169398909,0.011514375686177853,0.14633095350689984,0.023761846128557727,0.21703674363491965,0.08161147858573875,0.19744033191874946,0.011695829031783731
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,test,3,233,0.671104448353077,0.04381482852995854,0.5654422525463806,0.010001119399834736,0.6484589486585857,0.0099097704829922,0.6238161015054228,0.028609332373573403
MERT+LoRA (r=4),mert_v1_95m,train25,0.25,val,3,221,0.7016651512815196,0.030905362974086588,0.5481097326075145,0.010813624795552415,0.6109440429993521,0.05237316824401128,0.5795586895895474,0.02410795462156208
MERT+LoRA (r=4),mert_v1_95m,train50,0.5,external_test,3,610,0.4076502732240437,0.12277947988495702,0.27236170118526637,0.1689705404560366,0.4320968558616903,0.2775326482577422,0.3351328426164086,0.16931561758658825
MERT+LoRA (r=4),mert_v1_95m,train50,0.5,test,3,233,0.7082321111090247,0.1632881950884942,0.5948218614720503,0.1627976980327698,0.6120459528167979,0.16690743669330466,0.6476148208706348,0.11872265877194818
MERT+LoRA (r=4),mert_v1_95m,train50,0.5,val,3,221,0.807706309496591,0.09114394802341995,0.6483451513231431,0.11309411896273831,0.710669559465105,0.16843458215977403,0.6587800966740894,0.10101647757007418
MERT+LoRA (r=8),mert_v1_95m,train10,0.1,external_test,3,610,0.28688524590163933,0.09072848591489648,0.17410121771622952,0.0482273544345675,0.19414218888350007,0.024178870473306073,0.25639339049463916,0.02646330261926363
MERT+LoRA (r=8),mert_v1_95m,train10,0.1,test,3,233,0.6269068783355809,0.1432653460409217,0.5150525587830125,0.1341609847429408,0.489017209730084,0.1589783106667649,0.5850095238817644,0.08532641802425275
MERT+LoRA (r=8),mert_v1_95m,train10,0.1,val,3,221,0.6906391735036236,0.043770021697665536,0.5431727305299948,0.04521419256748865,0.5275656680168375,0.02326346980818486,0.6024479354536744,0.048664201331449664
MERT+LoRA (r=8),mert_v1_95m,train100,1.0,external_test,3,610,0.4502732240437159,0.05241630775134409,0.39961821062185415,0.07789760904422202,0.49743853143262085,0.045139023016862845,0.44512603658484085,0.0940421482336914
