ratio_name,ratio_value,seed_name,family_label,full_group_count,subset_group_count,actual_group_ratio,full_record_count,subset_record_count,full_segment_count,subset_segment_count,actual_segment_ratio
train10,0.1,seed0,二胡,31,4,0.129,31,4,146,20,0.137
train10,0.1,seed0,琵琶,12,2,0.1667,22,4,65,4,0.0615
train10,0.1,seed0,中阮,13,2,0.1538,25,4,229,19,0.083
train10,0.1,seed0,笛子,22,3,0.1364,38,5,184,24,0.1304
train10,0.1,seed0,唢呐,76,8,0.1053,76,8,198,15,0.0758
train10,0.1,seed0,笙,38,4,0.1053,38,4,245,15,0.0612
train10,0.1,seed1,二胡,31,4,0.129,31,4,134,14,0.1045
train10,0.1,seed1,琵琶,11,2,0.1818,20,4,40,4,0.1
train10,0.1,seed1,中阮,13,2,0.1538,24,4,242,49,0.2025
train10,0.1,seed1,笛子,23,3,0.1304,38,5,176,5,0.0284
train10,0.1,seed1,唢呐,76,8,0.1053,76,8,213,26,0.1221
train10,0.1,seed1,笙,38,4,0.1053,38,4,260,16,0.0615
train10,0.1,seed2,二胡,31,4,0.129,31,4,135,23,0.1704
train10,0.1,seed2,琵琶,12,2,0.1667,21,3,72,16,0.2222
train10,0.1,seed2,中阮,13,2,0.1538,25,4,248,52,0.2097
train10,0.1,seed2,笛子,25,3,0.12,38,4,126,13,0.1032
train10,0.1,seed2,唢呐,76,8,0.1053,76,8,197,19,0.0964
train10,0.1,seed2,笙,38,4,0.1053,38,4,251,28,0.1116
train100,1.0,seed0,二胡,31,31,1.0,31,31,146,146,1.0
train100,1.0,seed0,琵琶,12,12,1.0,22,22,65,65,1.0
train100,1.0,seed0,中阮,13,13,1.0,25,25,229,229,1.0
train100,1.0,seed0,笛子,22,22,1.0,38,38,184,184,1.0
train100,1.0,seed0,唢呐,76,76,1.0,76,76,198,198,1.0
train100,1.0,seed0,笙,38,38,1.0,38,38,245,245,1.0
train100,1.0,seed1,二胡,31,31,1.0,31,31,134,134,1.0
train100,1.0,seed1,琵琶,11,11,1.0,20,20,40,40,1.0
train100,1.0,seed1,中阮,13,13,1.0,24,24,242,242,1.0
train100,1.0,seed1,笛子,23,23,1.0,38,38,176,176,1.0
train100,1.0,seed1,唢呐,76,76,1.0,76,76,213,213,1.0
train100,1.0,seed1,笙,38,38,1.0,38,38,260,260,1.0
train100,1.0,seed2,二胡,31,31,1.0,31,31,135,135,1.0
train100,1.0,seed2,琵琶,12,12,1.0,21,21,72,72,1.0
train100,1.0,seed2,中阮,13,13,1.0,25,25,248,248,1.0
train100,1.0,seed2,笛子,25,25,1.0,38,38,126,126,1.0
train100,1.0,seed2,唢呐,76,76,1.0,76,76,197,197,1.0
train100,1.0,seed2,笙,38,38,1.0,38,38,251,251,1.0
train25,0.25,seed0,二胡,31,8,0.2581,31,8,146,20,0.137
train25,0.25,seed0,琵琶,12,3,0.25,22,6,65,6,0.0923
train25,0.25,seed0,中阮,13,4,0.3077,25,8,229,77,0.3362
train25,0.25,seed0,笛子,22,6,0.2727,38,10,184,35,0.1902
train25,0.25,seed0,唢呐,76,19,0.25,76,19,198,49,0.2475
train25,0.25,seed0,笙,38,10,0.2632,38,10,245,44,0.1796
train25,0.25,seed1,二胡,31,8,0.2581,31,8,134,27,0.2015
train25,0.25,seed1,琵琶,11,3,0.2727,20,6,40,15,0.375
train25,0.25,seed1,中阮,13,4,0.3077,24,7,242,76,0.314
train25,0.25,seed1,笛子,23,6,0.2609,38,9,176,49,0.2784
train25,0.25,seed1,唢呐,76,19,0.25,76,19,213,67,0.3146
train25,0.25,seed1,笙,38,10,0.2632,38,10,260,80,0.3077
train25,0.25,seed2,二胡,31,8,0.2581,31,8,135,33,0.2444
train25,0.25,seed2,琵琶,12,3,0.25,21,5,72,21,0.2917
train25,0.25,seed2,中阮,13,4,0.3077,25,8,248,86,0.3468
train25,0.25,seed2,笛子,25,7,0.28,38,11,126,33,0.2619
train25,0.25,seed2,唢呐,76,19,0.25,76,19,197,57,0.2893
train25,0.25,seed2,笙,38,10,0.2632,38,10,251,41,0.1633
train50,0.5,seed0,二胡,31,16,0.5161,31,16,146,79,0.5411
train50,0.5,seed0,琵琶,12,6,0.5,22,10,65,41,0.6308
train50,0.5,seed0,中阮,13,7,0.5385,25,13,229,117,0.5109
train50,0.5,seed0,笛子,22,11,0.5,38,20,184,92,0.5
train50,0.5,seed0,唢呐,76,38,0.5,76,38,198,92,0.4646
train50,0.5,seed0,笙,38,19,0.5,38,19,245,132,0.5388
train50,0.5,seed1,二胡,31,16,0.5161,31,16,134,51,0.3806
train50,0.5,seed1,琵琶,11,6,0.5455,20,11,40,15,0.375
train50,0.5,seed1,中阮,13,7,0.5385,24,12,242,113,0.4669
train50,0.5,seed1,笛子,23,12,0.5217,38,18,176,98,0.5568
train50,0.5,seed1,唢呐,76,38,0.5,76,38,213,111,0.5211
train50,0.5,seed1,笙,38,19,0.5,38,19,260,94,0.3615
train50,0.5,seed2,二胡,31,16,0.5161,31,16,135,71,0.5259
train50,0.5,seed2,琵琶,12,6,0.5,21,10,72,31,0.4306
train50,0.5,seed2,中阮,13,7,0.5385,25,14,248,122,0.4919
train50,0.5,seed2,笛子,25,13,0.52,38,21,126,68,0.5397
train50,0.5,seed2,唢呐,76,38,0.5,76,38,197,92,0.467
train50,0.5,seed2,笙,38,19,0.5,38,19,251,106,0.4223
