source_phase,experiment_id,method,method_short,model,split,true_label,pred_label,count_mean,count_std,row_rate_mean,row_rate_std,seed_count
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,二胡,二胡,32.666666666666664,3.7859388972001824,1.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,二胡,琵琶,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,二胡,中阮,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,二胡,笛子,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,二胡,唢呐,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,二胡,笙,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,琵琶,二胡,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,琵琶,琵琶,15.0,14.933184523068078,1.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,琵琶,中阮,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,琵琶,笛子,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,琵琶,唢呐,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,琵琶,笙,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,中阮,二胡,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,中阮,琵琶,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,中阮,中阮,42.0,8.54400374531753,1.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,中阮,笛子,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,中阮,唢呐,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,中阮,笙,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,笛子,二胡,0.0,0.0,0.0,0.0,3
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,test,笛子,琵琶,0.0,0.0,0.0,0.0,3
