experiment_id,run_id,method,model,layer_index,layer_name,seed_name,split,num_samples,accuracy,macro_f1,macro_precision,macro_recall
exp04_mert_layer_probe,run_exp04_mert_layer_probe_layer00_seed0,MERT layer probe,mert_v1_95m,0,embedding_output,seed0,val,221,0.9819004524886877,0.974025263252468,0.9849741656193269,0.9650075414781297
exp04_mert_layer_probe,run_exp04_mert_layer_probe_layer00_seed0,MERT layer probe,mert_v1_95m,0,embedding_output,seed0,test,204,0.9656862745098039,0.9722201982599813,0.9709821428571428,0.9766025641025641
exp04_mert_layer_probe,run_exp04_mert_layer_probe_layer00_seed0,MERT layer probe,mert_v1_95m,0,embedding_output,seed0,external_test,610,0.38524590163934425,0.3181160671317613,0.43180514627757843,0.4921529135710969
exp04_mert_layer_probe,run_exp04_mert_layer_probe_layer00_seed1,MERT layer probe,mert_v1_95m,0,embedding_output,seed1,val,185,0.9459459459459459,0.9336965716276061,0.96489898989899,0.9124801587301588
exp04_mert_layer_probe,run_exp04_mert_layer_probe_layer00_seed1,MERT layer probe,mert_v1_95m,0,embedding_output,seed1,test,242,0.9752066115702479,0.9723484848484848,0.9733231707317073,0.9718451483157367
exp04_mert_layer_probe,run_exp04_mert_layer_probe_layer00_seed1,MERT layer probe,mert_v1_95m,0,embedding_output,seed1,external_test,610,0.3442622950819672,0.2819095284484802,0.4384733552062972,0.45530179846678825
exp04_mert_layer_probe,run_exp04_mert_layer_probe_layer00_seed2,MERT layer probe,mert_v1_95m,0,embedding_output,seed2,val,230,0.9521739130434783,0.9601671616768354,0.9580498866213153,0.9642261339125451
exp04_mert_layer_probe,run_exp04_mert_layer_probe_layer00_seed2,MERT layer probe,mert_v1_95m,0,embedding_output,seed2,test,233,0.944206008583691,0.9538249449384125,0.9489795918367346,0.9635928367118517
exp04_mert_layer_probe,run_exp04_mert_layer_probe_layer00_seed2,MERT layer probe,mert_v1_95m,0,embedding_output,seed2,external_test,610,0.3590163934426229,0.29100750965288175,0.43979063512961813,0.4610968163960382
exp04_mert_layer_probe,run_exp04_mert_layer_probe_layer01_seed0,MERT layer probe,mert_v1_95m,1,transformer_layer_1,seed0,val,221,0.995475113122172,0.9966557274574153,0.9958333333333332,0.9975490196078431
