method,model,layer_index,layer_name,split,seed_count,num_samples_per_seed,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std
MERT layer probe,mert_v1_95m,0,embedding_output,external_test,3,610,0.3628415300546448,0.020757835970735054,0.29701103507770776,0.01883507629400216,0.4366897122044979,0.0042811265830284976,0.4695171761446411,0.019816104935876537
MERT layer probe,mert_v1_95m,0,embedding_output,test,3,233,0.9616996315545809,0.015880155475367756,0.9661312093489595,0.010657730629403218,0.9644283018085282,0.013430081262666213,0.9706801830433841,0.006582636991320689
MERT layer probe,mert_v1_95m,0,embedding_output,val,3,221,0.9600067704927039,0.01921449653381356,0.9559629988523031,0.020490414364640965,0.9693076807132108,0.013993091720997126,0.9472379447069446,0.030103661138670863
MERT layer probe,mert_v1_95m,1,transformer_layer_1,external_test,3,610,0.3879781420765027,0.011630489974750139,0.32037774562612614,0.013160725549738817,0.4481307430493026,0.01064803155673001,0.4807226490435399,0.012090107548642577
MERT layer probe,mert_v1_95m,1,transformer_layer_1,test,3,233,0.9747690927776306,0.017338246308087932,0.9781281889860322,0.013600214925986244,0.9762386000713953,0.01647018532987917,0.9812564993652545,0.009934863341633106
MERT layer probe,mert_v1_95m,1,transformer_layer_1,val,3,221,0.9717388645777393,0.02194990367004068,0.9727963398313003,0.02066285202622803,0.9737687025007874,0.01929992476408042,0.9727044600791782,0.02162487988767817
MERT layer probe,mert_v1_95m,2,transformer_layer_2,external_test,3,610,0.4065573770491803,0.0059107397958426166,0.3467089858173453,0.0068171007876224555,0.33652983015142474,0.010585961313009668,0.4846050196888716,0.006622511826141597
MERT layer probe,mert_v1_95m,2,transformer_layer_2,test,3,233,0.9767128608617214,0.013315606767574904,0.978924709390563,0.010129655756425961,0.9773324137255139,0.012202944925256606,0.9816716615451225,0.0074472652211672475
MERT layer probe,mert_v1_95m,2,transformer_layer_2,val,3,221,0.959360737877362,0.025762690036911468,0.9509470720312532,0.03313685903765308,0.9671323247818663,0.014596137812462667,0.9434284926091648,0.04417547621001157
MERT layer probe,mert_v1_95m,3,transformer_layer_3,external_test,3,610,0.4415300546448087,0.008086693216911876,0.3559769302272399,0.012258999364224709,0.34021895749654885,0.02139235120749224,0.4931651690059737,0.013124717676904872
